"Opportunity Name","Randomized Order","Research Initiative","Bridge Name","GPS (Latitude)","GPS (Longitude)","Level 1 Government","Level 3 Government","Level 4 Government","Stage","Sub-Stage","Individuals Directly Served","Bridge Type","Span (m)","Ground Breaking Date","Close Date","CaseSafeID","Project Code","Close Month","B2P Fiscal Year","Level 2 Government"
"Rwanda - Mukamira - 1007439","4","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Mukamira","-1.6198000000","29.5024400000","Western Province","Mukamira","Jaba_Cyamabuye","Complete","In Service","3006","Suspended Bridge","38.0","11/15/2022","5/18/2023","006f100000a86EdAAI","1007439","5/1/2023","2023","Nyabihu"
"Rwanda - Muturagara-Gatobo - 1013025","9","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Muturagara-Gatobo","1.6725000000","29.5747200000","Western Province","Rurembo","Rwaza","Complete","In Service","2270","Suspended Bridge","96.0","10/27/2023","12/22/2023","006f100000d6yLHAAY","1013025","12/1/2023","2024","Nyabihu"
"Rwanda - Ruyebe - 1013392","11","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Ruyebe","-1.6554900000","29.5186200000","Western Province","Karago","Karengere-Kadahenda","Complete","In Service","2624","Suspended Bridge","48.0","10/27/2023","12/22/2023","006f100000d7GtGAAU","1013392","12/1/2023","2024","Nyabihu"
"Rwanda - Bishenge (Masuma) - 1012983","18","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Bishenge (Masuma)","-2.3459080000","29.4097020000","Southern Province","Nkomane","Mutengeli","Complete","In Service","2818","Hybrid Suspension Bridge","68.0","4/17/2023","7/7/2023","006f100000d6wIKAAY","1012983","7/1/2023","2023","Nyamagabe"
"Rwanda - Kagarama - 1013226","15","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Kagarama","-2.5215172200","29.5878311000","Southern Province","Kamegeri","Kizi-Gasumba","Identified","Requested","3709","Suspended Bridge","","3/28/2023","6/2/2023","006f100000d75zZAAQ","1013226","6/1/2023","2023","Nyamagabe"
"Rwanda - Kibiraro - 1007499","17","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kibiraro","-2.2945230000","29.5551600000","Southern Province","Kaduha","Murambi","Complete","In Service","2492","Suspended Bridge","80.0","2/14/2022","6/24/2022","006f100000a86FbAAI","1007499","6/1/2022","2022","Nyamagabe"
"Rwanda - Mugote - 1007477","13","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Mugote","-2.4477333000","29.4145533300","Southern Province","Buruhukiro","Kizimyamuriro","Complete","In Service","1720","Suspended Bridge","60.0","8/9/2021","11/9/2021","006f100000a86FFAAY","1007477","11/1/2021","2022","Nyamagabe"
"Rwanda - Mujerenge - 1007463","14","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Mujerenge","-2.4519566700","29.4276650000","Southern Province","Buruhukiro","Bushigishigi","Complete","In Service","995","Suspended Bridge","70.0","8/9/2021","11/22/2021","006f100000a86F1AAI","1007463","11/1/2021","2022","Nyamagabe"
"Rwanda - Munanira - 1013583","16","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Munanira","-2.3963160000","29.5777760000","Southern Province","Kibirizi-Mbazi","Karambo-Ngambe","Complete","In Service","4717","Suspended Bridge","62.0","2/14/2022","10/7/2022","006f100000d7bIlAAI","1013583","10/1/2022","2023","Nyamagabe"
"Rwanda - Mutiwingoma - 1007481","8","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Mutiwingoma","-2.3640850000","29.5533590000","Southern Province","Mbazi-Kaduha","Mutiwingoma","Complete","In Service","2601","Suspension Bridge","120.0","7/7/2020","11/6/2020","006f100000a86FJAAY","1007481","11/1/2020","2021","Nyamagabe"
