Bridge Opportunity: CaseSafeID,Bridge Opportunity: Project Code,Bridge Opportunity: Country,Bridge Opportunity: Opportunity Name,Bridge Opportunity: Stage,Bridge Opportunity: Sub-Stage,Bridge Opportunity: Close Date,Bridge Opportunity: Level 1 Government,Bridge Opportunity: Level 2 Government,Bridge Opportunity: Level 3 Government,Bridge Opportunity: Level 4 Government,Bridge Name,Bridge Opportunity: River Name,Bridge Opportunity: Research Initiative,Bridge Opportunity: Monitoring Campaign,Form: Form Name,Bridge Opportunity: GPS (Latitude),Bridge Opportunity: GPS (Longitude),Individuals Directly Served,Bridge Opportunity: Population Dataset URL,Bridge Opportunity: Population Estimate 2000m,Bridge Opportunity: Population Estimate 5000m,Community Served 1,Individuals served in Community 1,Community Served 2,Individuals served in Community 2,Community Served 3,Individuals served in Community 3,Community Served 4,Individuals served in Community 4,Community Served 5,Individuals served in Community 5,Community Served 6,Individuals Served in Community 6,Form: Created Date,Community Served 7,Individuals Served in Community 7,Community Served 8,Individuals Served in Community 8,Community Served 9,Individuals Served in Community 9,Community Served 10,Individuals Served in Community 10,geometry,WorldPop_1km,WorldPop_1_5km,WorldPop_2km,WorldPop_2_5km,WorldPop_3km,WorldPop_1km_unproj,WorldPop_1_5km_unproj,WorldPop_2km_unproj,WorldPop_2_5km_unproj,WorldPop_3km_unproj
006f100000efHAgAAM,1014599,Rwanda,Rwanda - Nyakajuri - 1014599,Rejected,Vehicular Bridge Required,11/30/18,Eastern Province,Bugesera,Musenyi,Nyagihinika/nyakajuri,Nyakajuri,,,,Project Assessment - 2018.11.30,-2.22393,30.07617,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4362.0,25105.0,Nyakajuri,908.0,,0.0,,0.0,,0.0,,0.0,,,11/30/18,,,,,,,,,POINT (508472.01696948474 4754113.683596866),1103.99,2612.49,4499.57,7579.11,12239.52,1155.86,2605.56,4502.95,7757.57,12264.57
006f100000efHAlAAM,1014600,Rwanda,Rwanda - Nyabaranga - 1014600,Rejected,Vehicular Bridge Required,11/30/18,Eastern Province,Bugesera,Ruhuha,Ruhuha/nyaburanga,Nyabaranga,Gatare,,,Project Assessment - 2018.11.30,-2.29153,30.05912,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5668.0,35095.0,Nyaburanga,568.0,,0.0,,0.0,,0.0,,0.0,,,11/30/18,,,,,,,,,POINT (506575.32417693833 4746639.576437255),857.99,3087.21,9144.99,14405.39,20112.26,850.12,3084.02,9212.16,14667.38,20687.12
006f100000efHHSAA2,1014618,Rwanda,Rwanda - Gahosha - 1014618,Rejected,Vehicular Bridge Required,11/30/18,Eastern Province,Bugesera,Shyara,Nziranzira,Gahosha,Rain storm water,,,Project Assessment - 2018.11.30,-2.248912,30.019451,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5278.0,28889.0,Gahosha,550.0,,0.0,,0.0,,0.0,,0.0,,,11/30/18,,,,,,,,,POINT (502163.4025118606 4751351.755156562),1301.71,3545.09,5897.4,8769.34,13437.87,1323.1,3580.84,6007.59,8971.74,13670.13
006f100000efHIuAAM,1014619,Rwanda,Rwanda - Kinteko - 1014619,Rejected,Technical,12/2/18,Eastern Province,Bugesera,Shyara,Kabagugu,Kinteko,Nyiramagori,,,Project Assessment - 2018.11.30,-2.261622,29.988408,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4239.0,26601.0,Kintenko,289.0,Ngaruye,475.0,Kabagugu,621.0,Gaseke,500.0,,0.0,,,11/30/18,,,,,,,,,POINT (498710.7118408719 4749946.484062027),1516.2,3762.04,5457.87,8639.66,13328.66,1538.65,3777.2,5487.73,8656.45,13269.58
006f100000a86CuAAI,1007332,Rwanda,Rwanda - Bugambo - 1007332,Rejected,Technical,11/5/18,Northern Province,Burera,Kinyababa,Bugambo,Bugambo,Kabwa,,,Project Assessment - 2018.9.16,-1.377,29.80729,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8263.0,43244.0,Gatare,700.0,Kabingo,764.0,Kirwa,428.0,,0.0,,0.0,,,9/16/18,,,,,,,,,POINT (478555.8785240218 4847753.287346925),2660.66,4364.85,6723.78,9829.85,13473.52,2748.78,4434.83,6771.97,9972.7,13703.42
006f100000a86CwAAI,1007334,Rwanda,Rwanda - Karambi - 1007334,Rejected,Vehicular Bridge Required,10/31/18,Northern Province,Burera,Kinyababa,Bugamba,Karambi,Rutare,,,Project Assessment - 2018.9.16,-1.39214,29.81063,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8366.0,44323.0,Cyogo,515.0,Kirwa,428.0,Gako,630.0,,0.0,,0.0,,,9/16/18,,,,,,,,,POINT (478927.6775623445 4846079.370992681),1615.2,3263.7,6311.94,10336.44,15147.85,1673.56,3268.99,6364.5,10394.23,15267.91
006f100000a86CxAAI,1007335,Rwanda,Rwanda - Musangabo - 1007335,Rejected,Vehicular Bridge Required,10/31/18,Northern Province,Burera,Kagogo,Kirinda,Musangabo,Kagezi,,,Project Assessment - 2018.9.16,-1.38223,29.77727,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8284.0,46877.0,Musangamo,601.0,Kiligali,652.0,,0.0,,0.0,,0.0,,,9/16/18,,,,,,,,,POINT (475215.3921038709 4847174.742921195),2838.82,5010.93,8582.06,13441.83,19036.09,2938.43,5107.83,8876.68,13709.14,19392.94
006f100000a86CyAAI,1007336,Rwanda,Rwanda - Rugezi - 1007336,Rejected,Technical,11/1/18,Northern Province,Burera,Kivuye,Bukwashuli,Rugezi,Rugezi,,,Project Assessment - 2018.9.28,-1.48563,29.88871,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4497.0,29613.0,Gitovu,432.0,Kabaya,0.0,Rugezi,0.0,,0.0,,0.0,,,9/28/18,,,,,,,,,POINT (487616.62100583414 4835743.284467642),163.14,650.41,2064.46,4644.56,7259.95,168.64,667.52,2129.05,4778.51,7397.97
006f100000d6wFbAAI,1012972,Rwanda,Rwanda - Ku mashuri ya Rushara - 1012972,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Nyamugali (Kagihanga),Ku mashuri ya Rushara,,,,Project Assessment - 2018.8.25,-1.55437,29.85284,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6426.0,40765.0,Kagihanga,753.0,Mugomero,616.0,Karyango,900.0,Bugondo,520.0,,0.0,,,8/25/18,,,,,,,,,POINT (483625.8308109605 4828142.856537202),1766.99,3502.21,5931.16,8886.39,12486.9,1806.32,3591.39,6111.12,8977.38,12617.71
006f100000d6wGEAAY,1012973,Rwanda,Rwanda - Mukigogo - 1012973,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyamugali (karyango),Mukigogo,,,,Project Assessment - 2018.8.25,-1.56439,29.85781,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6075.0,39897.0,Karyango,900.0,Nyagahondo,652.0,Bugondo,520.0,Kagesera,794.0,,0.0,,,8/25/18,,,,,,,,,POINT (484178.90774738166 4827035.039298395),1907.15,3529.6,5737.09,8467.45,12266.48,1957.36,3622.66,5851.04,8584.02,12417.96
