Bridge Opportunity: CaseSafeID,Bridge Opportunity: Project Code,Bridge Opportunity: Country,Bridge Opportunity: Opportunity Name,Bridge Opportunity: Stage,Bridge Opportunity: Sub-Stage,Bridge Opportunity: Close Date,Bridge Opportunity: Level 1 Government,Bridge Opportunity: Level 2 Government,Bridge Opportunity: Level 3 Government,Bridge Opportunity: Level 4 Government,Bridge Name,Bridge Opportunity: River Name,Bridge Opportunity: Research Initiative,Bridge Opportunity: Monitoring Campaign,Form: Form Name,Bridge Opportunity: GPS (Latitude),Bridge Opportunity: GPS (Longitude),Individuals Directly Served,Bridge Opportunity: Population Dataset URL,Bridge Opportunity: Population Estimate 2000m,Bridge Opportunity: Population Estimate 5000m,Community Served 1,Individuals served in Community 1,Community Served 2,Individuals served in Community 2,Community Served 3,Individuals served in Community 3,Community Served 4,Individuals served in Community 4,Community Served 5,Individuals served in Community 5,Community Served 6,Individuals Served in Community 6,Form: Created Date,Community Served 7,Individuals Served in Community 7,Community Served 8,Individuals Served in Community 8,Community Served 9,Individuals Served in Community 9,Community Served 10,Individuals Served in Community 10,geometry,WorldPop_1km,WorldPop_1_5km,WorldPop_2km,WorldPop_1km_unproj,WorldPop_1_5km_unproj,WorldPop_2km_unproj
006f100000a86CxAAI,1007335,Rwanda,Rwanda - Musangabo - 1007335,Rejected,Vehicular Bridge Required,10/31/18,Northern Province,Burera,Kagogo,Kirinda,Musangabo,Kagezi,,,Project Assessment - 2018.9.16,-1.38223,29.77727,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8284.0,46877.0,Musangamo,601.0,Kiligali,652.0,,0.0,,0.0,,0.0,,,9/16/18,,,,,,,,,POINT (475215.3921038709 4847174.742921195),2838.820068359375,5010.92626953125,8582.056640625,2938.432373046875,5107.830078125,8876.6826171875
006f100000a86CyAAI,1007336,Rwanda,Rwanda - Rugezi - 1007336,Rejected,Technical,11/1/18,Northern Province,Burera,Kivuye,Bukwashuli,Rugezi,Rugezi,,,Project Assessment - 2018.9.28,-1.48563,29.88871,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4497.0,29613.0,Gitovu,432.0,Kabaya,0.0,Rugezi,0.0,,0.0,,0.0,,,9/28/18,,,,,,,,,POINT (487616.62100583414 4835743.284467642),163.1439208984375,650.4095458984375,2064.4609375,168.63970947265625,667.5182495117188,2129.0478515625
006f100000d6wFbAAI,1012972,Rwanda,Rwanda - Ku mashuri ya Rushara - 1012972,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Nyamugali (Kagihanga),Ku mashuri ya Rushara,,,,Project Assessment - 2018.8.25,-1.55437,29.85284,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6426.0,40765.0,Kagihanga,753.0,Mugomero,616.0,Karyango,900.0,Bugondo,520.0,,0.0,,,8/25/18,,,,,,,,,POINT (483625.8308109605 4828142.856537202),1766.98779296875,3502.2099609375,5931.158203125,1806.3248291015625,3591.39404296875,6111.12255859375
006f100000d6wGEAAY,1012973,Rwanda,Rwanda - Mukigogo - 1012973,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyamugali (karyango),Mukigogo,,,,Project Assessment - 2018.8.25,-1.56439,29.85781,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6075.0,39897.0,Karyango,900.0,Nyagahondo,652.0,Bugondo,520.0,Kagesera,794.0,,0.0,,,8/25/18,,,,,,,,,POINT (484178.90774738166 4827035.039298395),1907.14501953125,3529.6025390625,5737.08837890625,1957.3572998046875,3622.66357421875,5851.0419921875
006f100000d6wGdAAI,1012974,Rwanda,Rwanda - Ryaruhirima - 1012974,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyamugali (Ryaruhirima),Ryaruhirima,,,,Project Assessment - 2018.8.25,-1.54643,29.84546,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6850.0,43492.0,Ryaruhirima,982.0,Kagihanga,753.0,Ntazi,0.0,Mugonero,616.0,,0.0,,,8/25/18,,,,,,,,,POINT (482804.6084405653 4829020.679509774),1590.9200439453125,3653.97021484375,5655.16015625,1664.016845703125,3681.076904296875,5692.7548828125
006f100000d6wGnAAI,1012975,Rwanda,Rwanda - Musave - 1012975,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Nyamugali(Karyango),Musave,,,,Project Assessment - 2018.8.25,-1.55797,29.86744,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6454.0,36967.0,Karyango,900.0,Nyagahondo,652.0,Cyarurenge,420.0,,0.0,,0.0,,,8/25/18,,,,,,,,,POINT (485250.36874811625 4827744.932498046),1276.738525390625,2480.862548828125,5961.58203125,1305.7823486328125,2561.7880859375,6137.873046875
006f100000d6wHbAAI,1012976,Rwanda,Rwanda - Kirwa - 1012976,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Nyamugali (Shorezo),Kirwa,,,,Project Assessment - 2018.8.25,-1.57513,29.87746,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6457.0,38192.0,Shorezo,673.0,Kanyaru,896.0,Bigarigari,530.0,Nyiraruhuha,786.0,,0.0,,,8/25/18,,,,,,,,,POINT (486365.3826741442 4825847.716550327),1550.975341796875,3409.850341796875,7076.388671875,1599.6865234375,3488.34228515625,7147.19287109375
006f100000d6wHlAAI,1012977,Rwanda,Rwanda - Ku mashuri ya rubona - 1012977,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyiraruhuha,Ku mashuri ya rubona,,,,Project Assessment - 2018.8.25,-1.58122,29.88095,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6490.0,38978.0,Nyiraruhuha,786.0,Shorezo,673.0,Kanyaru,896.0,Ngongwe,345.0,,0.0,,,8/25/18,,,,,,,,,POINT (486753.74244219955 4825174.402464647),1633.0068359375,3513.6337890625,6506.44873046875,1713.6861572265625,3566.07763671875,6580.42578125
006f100000d75zFAAQ,1013222,Rwanda,Rwanda - Kiziba - 1013222,Complete,In Service,12/13/24,Northern Province,Burera,Rugengabari,Nyanamo ( Kiziba),Kiziba,Nyamusanze,Rwanda Full Scale Research - Randomized but Not Baselined,,Project Assessment - 2018.9.2,-1.55473,29.83253,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6274.0,48005.0,Kiziba,864.0,Bishingwe,436.0,Kabukoko,450.0,Ntazi,580.0,Mugonero,616.0,,,9/2/18,,,,,,,,,POINT (481365.9789077533 4828102.885004363),1393.9398193359375,2921.451171875,4941.849609375,1395.025634765625,2980.635986328125,5020.1337890625
006f100000d75zKAAQ,1013223,Rwanda,Rwanda - Gafuro ya 2 - 1013223,Rejected,Technical,11/15/18,Northern Province,Burera,Cyeru,Rurenge (Rugarama),Gafuro ya 2,Cyeru,,,Project Assessment - 2018.9.2,-1.51139,29.81161,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7406.0,49016.0,Rugarama,555.0,Musama,522.0,Mubuga,517.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (479037.82671120827 4832894.559244362),591.937255859375,1901.597900390625,3929.447265625,600.4728393554688,1887.1513671875,3979.419921875
006f100000d75zeAAA,1013227,Rwanda,Rwanda - Gafuro ya 1 - 1013227,Rejected,Technical,11/11/18,Northern Province,Burera,Cyeru,Butare ( Musama),Gafuro ya 1,Karuruma,,,Project Assessment - 2018.9.2,-1.51287,29.8126,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7621.0,49414.0,Musama,522.0,Mubuga,517.0,Rugarama,555.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (479147.99862519634 4832730.933185231),614.9986572265625,2077.7431640625,3992.985595703125,628.538330078125,2058.22412109375,4074.03515625
006f100000d75zjAAA,1013228,Rwanda,Rwanda - Ku gatare - 1013228,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Rubona,Ku gatare,Nyamihogo,,,Project Assessment - 2018.9.2,-1.55931,29.88196,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6213.0,34887.0,Rebero,460.0,Cyabarenge,445.0,Kinkware,827.0,Buhore,763.0,Kanyaru,895.0,,,9/2/18,,,,,,,,,POINT (486865.98484383425 4827596.872429867),1034.652099609375,2772.63720703125,6327.9794921875,1057.34423828125,2807.1796875,6474.013671875
006f100000d75zoAAA,1013229,Rwanda,Rwanda - Kwa magorwa - 1013229,Rejected,Technical,9/13/18,Northern Province,Burera,Nemba,Rubona,Kwa magorwa,Nyamakoma,,,Project Assessment - 2018.9.2,-1.59194,29.89186,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6676.0,41986.0,Ngongwe,343.0,Nyantwere,410.0,Cyabami,956.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (487967.721651613 4823989.219928688),971.8331298828125,2924.3525390625,6553.3525390625,978.8994750976562,2906.4697265625,6494.75732421875
006f100000d75ztAAA,1013230,Rwanda,Rwanda - Kwa mizerero - 1013230,Rejected,Technical,11/10/18,Northern Province,Burera,Nemba,Rubona,Kwa mizerero,Kanina,,,Project Assessment - 2018.9.2,-1.605,29.89527,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7879.0,44773.0,Butunda,380.0,Kadehero,658.0,Rugaragara,560.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (488347.21192151617 4822545.270169743),2007.328857421875,4457.599609375,7070.3740234375,2018.1175537109375,4486.74853515625,7156.5673828125
006f100000d7603AAA,1013232,Rwanda,Rwanda - Kwa mudahindwa - 1013232,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Rubona,Kwa mudahindwa,Ruhurura,,,Project Assessment - 2018.9.2,-1.59537,29.89217,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7131.0,42605.0,Nyantwere,410.0,Cyabami,956.0,Ngongwe,343.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (488002.23392467626 4823609.986275131),1181.6871337890625,3263.87109375,7343.884765625,1183.7869873046875,3272.113037109375,7443.962890625
006f100000d7608AAA,1013233,Rwanda,Rwanda - Cyabami (Kwa Anamariya) - 1013233,Complete,In Service,9/8/22,Northern Province,Burera,Nemba,Kadehero,Cyabami (Kwa Anamariya),Ruhurura,Rwanda Full Scale Research - Randomized and Baselined - Intervention,,Project Assessment - 2018.9.2,-1.60834,29.8911,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8188.0,44688.0,Cyabami,956.0,Rugaragara,560.0,Butunda,380.0,Kadehero,658.0,,0.0,,,9/2/18,,,,,,,,,POINT (487883.2558158966 4822175.961207659),3033.32568359375,5070.2216796875,7327.611328125,3070.978271484375,5106.9267578125,7381.904296875
006f100000d760DAAQ,1013234,Rwanda,Rwanda - Cyabami (kwa jerome) - 1013234,Rejected,Technical,11/10/18,Northern Province,Burera,Nemba,Rubona,Cyabami (kwa jerome),Ruhurura,,,Project Assessment - 2018.9.2,-1.60203,29.89157,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7750.0,43856.0,Cyabami,956.0,Kadehoro,658.0,Butunda,380.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (487935.5133827122 4822873.624652284),2047.004150390625,4742.2431640625,7191.4453125,2057.526123046875,4765.189453125,7229.9453125
006f100000d760IAAQ,1013235,Rwanda,Rwanda - Kwa Sibomana - 1013235,Rejected,Technical,11/16/18,Northern Province,Burera,Nemba,Kivumu (Songorero),Kwa Sibomana,Mugobore,,,Project Assessment - 2018.9.2,-1.59993,29.85702,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6592.0,43042.0,Songorero,970.0,Gasanzwe,432.0,Buhira,617.0,Buturuba,830.0,Cyave,910.0,,,9/2/18,,,,,,,,,POINT (484091.27717004693 4823105.574164816),1714.6002197265625,2977.599609375,5082.3232421875,1734.296630859375,3050.7763671875,5096.03369140625
006f100000d760NAAQ,1013236,Rwanda,Rwanda - Rugarama - 1013236,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Kivumu (Songorero),Rugarama,Mugobore,,,Project Assessment - 2018.9.2,-1.59631,29.85719,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6370.0,42866.0,Songorero,970.0,Gasanzwe,432.0,Buhira,617.0,Mugano,1035.0,,0.0,,,9/2/18,,,,,,,,,POINT (484110.16450042283 4823505.818708187),1717.763671875,2984.080810546875,4945.4208984375,1751.4736328125,3034.455078125,4966.8173828125
006f100000d760SAAQ,1013237,Rwanda,Rwanda - Kwa mvunabandi - 1013237,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Kivumu,Kwa mvunabandi,Mugobore,,,Project Assessment - 2018.9.2,-1.61204,29.86299,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7067.0,43650.0,Mugano,1035.0,Rubuga,586.0,Buturuba,830.0,Songorero,970.0,Gashushura-Kigeyo-Nyamusanze,2000.0,,,9/2/18,,,,,,,,,POINT (484755.6224717792 4821766.684497313),1382.055908203125,2968.019287109375,5303.98486328125,1465.0184326171875,2999.97607421875,5398.900390625
006f100000d760XAAQ,1013238,Rwanda,Rwanda - Kwa Rwanziye - 1013238,Rejected,Technical,11/16/18,Northern Province,Burera,Nemba,Kivumu,Kwa Rwanziye,Mugobore,,,Project Assessment - 2018.9.2,-1.60708,29.85897,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6941.0,43283.0,Mugano,1035.0,Buturuba,830.0,Rubuga,586.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (484308.29953867994 4822315.053544366),1567.023193359375,3012.056640625,5188.1455078125,1615.3726806640625,3081.1064453125,5309.39794921875
006f100000d760cAAA,1013239,Rwanda,Rwanda - Kigeyo ya 2 - 1013239,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Kivumu (Kigeyo),Kigeyo ya 2,Muhondo,,,Project Assessment - 2018.9.2,-1.5999,29.88097,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7814.0,42167.0,Kigeyo,776.0,Muhondo,1200.0,Songorero,976.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (486756.0868683867 4823109.061214052),2280.6591796875,4923.361328125,7524.736328125,2310.6728515625,4987.1904296875,7560.625
006f100000d760hAAA,1013240,Rwanda,Rwanda - Kabubandi (Kwa mutayumba) - 1013240,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Kivumu,Kabubandi (Kwa mutayumba),Mugobore,,,Project Assessment - 2018.9.2,-1.6032,29.85826,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6807.0,43139.0,Mugano,1035.0,Songorero,970.0,Buturuba,830.0,Buhira,617.0,Gasanzwe,432.0,,,9/2/18,,,,,,,,,POINT (484229.2715126152 4822744.038064042),1700.4656982421875,2979.97607421875,5216.5166015625,1699.49755859375,3039.008056640625,5307.71923828125
006f100000d760mAAA,1013241,Rwanda,Rwanda - Nyamusanze - 1013241,Rejected,Technical,11/12/18,Northern Province,Burera,Nemba,Kigali ( Nyamusanze),Nyamusanze,Muhondo,,,Project Assessment - 2018.9.2,-1.758679,29.8733,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5841.0,38082.0,Nyamusanze,813.0,Kigeyo,776.0,Muhondo,1200.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (485903.81801071507 4805553.698228785),1206.5740966796875,2703.037109375,4766.01123046875,1232.065185546875,2732.513671875,4836.6806640625
006f100000d760rAAA,1013242,Rwanda,Rwanda - Kwa nshoboye - 1013242,Rejected,Technical,11/12/18,Northern Province,Burera,Nemba,Kivumu (Kigeyo),Kwa nshoboye,Muhondo,,,Project Assessment - 2018.9.2,-1.59526,29.87748,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7412.0,41693.0,Kigeyo,776.0,Muhondo,1200.0,Songorero,976.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (486367.73966925335 4823622.056876834),1732.7923583984375,3910.070556640625,6981.111328125,1783.26171875,3850.789306640625,7043.681640625
006f100000d760wAAA,1013243,Rwanda,Rwanda - Kwa Rucagu - 1013243,Rejected,Technical,11/30/18,Northern Province,Burera,Nemba,Ruhondo,Kwa Rucagu,Kibumbiro,,,Project Pre-Assessment - 2018.9.2,-1.59855,29.89346,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7369.0,43420.0,Nyantwere,410.0,Bukenyeye,545.0,,0.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (488145.7848931978 4823258.399363218),1565.91259765625,3648.73583984375,7245.546875,1547.062744140625,3586.3154296875,7346.1669921875
