ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Kabuyanda,UG41080205,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Kabuyanda Town Council,UG41080206,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Kabwangasi,UG20370103,Butebo,UG203701,Butebo,UG2037,Eastern,UG2
Kabweri,UG20480104,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kabweza Kyegegwa,UG41230102,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Kabwohe Division,UG41350201,Sheema Municipality,UG413502,Sheema,UG4135,Western,UG4
Kabwoya,UG41180104,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4
Kacheera,UG10240103,Kooki,UG102401,Rakai,UG1024,Central,UG1
Kacheri,UG30800101,Jie,UG308001,Kotido,UG3080,Northern,UG3
Kachomo,UG20280202,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2
Kachonga,UG20360109,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Kachumbala,UG20320103,Bukedea,UG203201,Bukedea,UG2032,Eastern,UG2
Kadama,UG20480105,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kaderuna,UG20280103,Budaka,UG202801,Budaka,UG2028,Eastern,UG2
