ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Bumbaire,UG41050202,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Bumbo,UG20560106,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Bumbobi,UG20540108,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Bumugibole,UG20340109,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Bumwoni,UG20560107,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Bunabwana,UG20520104,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Bunambutye,UG20340110,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Bunamwaya Division,UG10260501,Makindye Ssabagabo Municipality,UG102605,Wakiso,UG1026,Central,UG1
Bundibugyo Town Council,UG41030204,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Bundingoma,UG41030205,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Bungatira,UG30740102,Aswa,UG307401,Gulu,UG3074,Northern,UG3
Bungokho,UG20540109,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Bungokho Mutoto,UG20540110,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Bunyafa,UG20610111,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Bunyinza Town Council,UG20520105,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Bupoto,UG20560108,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Buremba,UG41160101,Kazo,UG411601,Kazo,UG4116,Western,UG4
Burere,UG41010103,Buhweju,UG410101,Buhweju,UG4101,Western,UG4
Burondo,UG41030102,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Burora,UG41110101,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Burunga,UG41160102,Kazo,UG411601,Kazo,UG4116,Western,UG4
Busaana,UG10100201,Ntenjeru,UG101002,Kayunga,UG1010,Central,UG1
Busaba,UG20360102,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Busabi,UG20360103,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Busakira,UG20530104,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Busamuzi,UG10040102,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Busano,UG20540111,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Busanza,UG41210102,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Busaru,UG41030206,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Busedde,UG20400102,Butembe,UG204001,Jinja,UG2040,Eastern,UG2
Busembatia Town Council,UG20310102,Bugweri,UG203101,Bugweri,UG2031,Eastern,UG2
Buseruka,UG41060102,Bugahya,UG410601,Hoima,UG4106,Western,UG4
Buseta,UG20480102,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Bushika,UG20290110,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Bushiribo,UG20290111,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Bushiyi,UG20290112,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Busiisi Division,UG41060202,Hoima Municipality,UG410602,Hoima,UG4106,Western,UG4
Busimbi Division,UG10180401,Mityana Municipality,UG101804,Mityana,UG1018,Central,UG1
Busime,UG20350203,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Busiriba,UG41130103,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Busitema,UG20350204,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Busiu,UG20540112,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Busiu Town Council,UG20540113,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Busoba,UG20540114,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Busolwe,UG20360104,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Busolwe Town Council,UG20360105,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Busoro,UG41100102,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Bussi,UG10260101,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Busukuma Division,UG10260601,Nansana Municipality,UG102606,Wakiso,UG1026,Central,UG1
Busukuya,UG20520106,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Busulani,UG20610112,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Busunga Twon Council,UG41030207,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
