Opportunity Name,Project Code,Level 1 Government,Level 2 Government,Level 3 Government,B2P Fiscal Year,Stage,Sub-Stage,Close Date,Bridge Type,Span (m),GPS (Latitude),GPS (Longitude),Population Estimate 2000m,Population Estimate 5000m,Individuals Directly Served
Uganda - Namwenula - 1008744,1008744,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.8605383,34.3870217,16556,85658,
Uganda - Lwanda - 1008745,1008745,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.86696,34.38754,17797,84813,
Uganda - Natsekhe - 1008749,1008749,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.89112,34.3839417,13890,77212,
Uganda - Sibumba - 1008750,1008750,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.8865783,34.3701883,17110,81408,
Uganda - Sango Nekina - 1008755,1008755,Eastern Region,Manafwa,Busukyuya and Bugobero,2017,Identified,Identified in Needs Assessment,,,,0.8496,34.240133,7924,55699,
Uganda - Nasyanda - 1008761,1008761,Eastern Region,Manafwa,Butiro,2017,Identified,Identified in Needs Assessment,,,,0.812568,34.263817,6430,48795,
Uganda - Nakazuku - 1008768,1008768,Eastern Region,Bulambuli,Bulaago,2017,Identified,Identified in Needs Assessment,,,,1.2449,34.3588,14061,74763,
Uganda - Nalumba - 1008769,1008769,Eastern Region,Bulambuli,Sisiyi and Namsuni,2017,Identified,Identified in Needs Assessment,,,,1.28925,35.355083,0,0,
Uganda - Namisuni - Gamogo - 1008770,1008770,Eastern Region,Bulambuli,Namasuni and Gamogo,2017,Identified,Identified in Needs Assessment,,,,1.2985,34.363083,11669,72742,
Uganda - Namdongo - 1008771,1008771,Eastern Region,Bulambuli,Namisuni,2017,Identified,Identified in Needs Assessment,,,,1.294633,34.37535,11951,64697,300
Uganda - Nangoma - 1008775,1008775,Eastern Region,Bududa,Bukibokolo,2017,Identified,Identified in Needs Assessment,,,,0.9812,34.282617,10407,76699,
Uganda - Matiri - 1008781,1008781,Eastern Region,Bududa,Bumasheti,2017,Identified,Identified in Needs Assessment,,,,1.01281,34.304267,15694,83253,
Uganda - Nametsi - 1008784,1008784,Eastern Region,Bududa,Bukalasi,2017,Identified,Identified in Needs Assessment,,,,1.036177,34.421605,7158,46829,
Uganda - Kapkwai - 1008786,1008786,Eastern Region,Kapchorwa,Chema,2017,Identified,Identified in Needs Assessment,,,80,1.3544149,34.4150586,3376,29496,1000
Uganda - Masagala - 1008788,1008788,Eastern Region,Sironko,Busulani Bumasifwa Subcounty,2017,Identified,Identified in Needs Assessment,,,50,1.0964,34.2191,15899,141124,
Uganda - Namunapa - 1008789,1008789,Eastern Region,Namisindwa,Bukwaweka,2017,Identified,Identified in Needs Assessment,,,,0.9334,34.30785,11374,78839,
Uganda - Bulako - 1008791,1008791,Eastern Region,Namisindwa,Namabya,2017,Identified,Identified in Needs Assessment,,,90,0.8719014,34.3194187,10122,69602,500
Uganda - Siyantsa - 1008792,1008792,Eastern Region,Namisindwa,Bukhaweka,2017,Identified,Identified in Needs Assessment,,,40,0.9198909,34.3204144,13548,78796,
Uganda - Buwambwa Chesoma - 1008793,1008793,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.884084,34.406513,15241,59191,2000
Uganda - Sabiny Kaptokwoy - 1010459,1010459,Eastern Region,Kapchorwa,Central Division,2017,Identified,Identified in Needs Assessment,,,107,1.3790778,34.4580097,8685,46252,
Uganda - Rosti - 1011161,1011161,Eastern Region,Kween,Kwanyiy,2017,Identified,Identified in Needs Assessment,,,,1.378749,34.648091,7612,27141,2450
Uganda - Kamwam - 1011162,1011162,Eastern Region,Kween,Moyok,2017,Identified,Identified in Needs Assessment,,,,1.410572,34.610469,6851,28752,8600
Uganda - Kapnandi Bridge - 1011060,1011060,Eastern Region,Bukwa,Kaptererwo,2017,Identified,Identified in Needs Assessment,,,,1.227725,34.80482,657,3820,28000
Uganda - Kaptolomongon Bridge - 1011061,1011061,Eastern Region,Bukwa,Kaptererwo,2017,Identified,Identified in Needs Assessment,,,,1.21992,34.796031,422,3808,5500
Uganda - Sosho - 1011065,1011065,Eastern Region,Bukwa,Bukwo,2017,Identified,Identified in Needs Assessment,,,,1.280618,34.718628,7422,34925,5300
Uganda - St. Joseph's bridge - 1011082,1011082,Eastern Region,Bukwa,Bukwa,2017,Identified,Identified in Needs Assessment,,,,1.297243,34.746294,6235,31232,11000
Uganda - Atikili - 1011083,1011083,Eastern Region,Bukwa,Tulel,2017,Identified,Identified in Needs Assessment,,,,1.402592,34.712112,11,2733,4000
Uganda - Sungora - 1011086,1011086,Eastern Region,Bukwa,Chepkwasta,2017,Identified,Identified in Needs Assessment,,,,1.280194,34.708485,7648,31801,3900
Uganda - Chemukun - 1011087,1011087,Eastern Region,Bukwa,Chepkwasta,2017,Identified,Identified in Needs Assessment,,,,1.283875,34.699737,7342,26805,3900
Uganda - Cheptandan - 1011113,1011113,Eastern Region,Bukwa,Chepkwasta,2017,Identified,Identified in Needs Assessment,,,,1.282686,34.689458,7033,20197,3000
Uganda - Kira - 1011114,1011114,Eastern Region,Bukwa,Chepkwasta,2017,Identified,Identified in Needs Assessment,,,,1.280886,34.676986,5268,13968,1500
Uganda - Kapcheropta - 1011115,1011115,Eastern Region,Kween,Kaptoyoy,2017,Identified,Identified in Needs Assessment,,,,1.403085,34.512145,6460,39940,2400
Uganda - Chepyakaniet - 1011119,1011119,Eastern Region,Kween,Kaptum,2017,Identified,Identified in Needs Assessment,,,,1.418745,34.559869,6388,36843,920
Uganda - Kureny - 1011120,1011120,Eastern Region,Kween,Kaptum,2017,Identified,Identified in Needs Assessment,,,,1.421071,34.590966,8108,30632,2206
Uganda - Moyok - 1011122,1011122,Eastern Region,Kween,Moyok,2017,Identified,Identified in Needs Assessment,,,,1.41137,34.6265,5665,23784,2900
Uganda - Bugema - 1011123,1011123,Eastern Region,Kween,Kaproron Town Council,2017,Identified,Identified in Needs Assessment,,,,1.407526,34.595461,8257,34902,3500
Uganda - Kaptare - 1011124,1011124,Eastern Region,Kween,Kaproron,2017,Identified,Identified in Needs Assessment,,,,1.422577,34.5918,7799,29706,6000
Uganda - Kwosir - 1011153,1011153,Eastern Region,Kween,Kwosir,2017,Identified,Identified in Needs Assessment,,,,1.386142,34.583367,8499,39118,16000
Uganda - Maaba - 1012295,1012295,Eastern Region,Bududa,Nalwanza,2017,Identified,Identified in Needs Assessment,,,,0.996547,34.37058,17350,93065,695
Uganda - Shikho-Nakalwa - 1012296,1012296,Eastern Region,Bududa,Bumayoka,2017,Identified,Identified in Needs Assessment,,,,1.042445,34.407845,12323,70941,405
Uganda - Muchomo-Bunatondo - 1012297,1012297,Eastern Region,Bududa,Bumayoka,2017,Identified,Identified in Needs Assessment,,,,1.029264,34.39792,14666,85453,585
Uganda - Manafwa - 1012298,1012298,Eastern Region,Bududa,Bukigai,2017,Identified,Identified in Needs Assessment,,,,1.014449,34.372193,19669,107345,1040
Uganda - Buwashi Lower - 1012299,1012299,Eastern Region,Bududa,Buwali,2017,Identified,Identified in Needs Assessment,,,,1.007974,34.371642,18662,101696,2050
Uganda - Bunamwamba Main - 1012300,1012300,Eastern Region,Bududa,Buwali,2017,Identified,Identified in Needs Assessment,,,,1.005258,34.395825,12082,69675,1820
Uganda - Nafunani - 1012301,1012301,Eastern Region,Bududa,Bumayoka,2017,Identified,Identified in Needs Assessment,,,,1.047861,34.415942,8648,53731,885
Uganda - Bunabumali - 1012302,1012302,Eastern Region,Bududa,Buwali,2017,Identified,Identified in Needs Assessment,,,,0.999995,34.387808,11295,78525,2800
Uganda - Shanzou-Nalufutu - 1012374,1012374,Eastern Region,Bududa,Bushiribo,2017,Identified,Identified in Needs Assessment,,,,1.040645,34.33537,21562,109994,2510
Uganda - Resort - 1011583,1011583,Eastern Region,Bulambuli,Bulegeni,2017,Identified,Identified in Needs Assessment,,,,1.278543,34.318153,5589,54965,7900
Uganda - Chesoyen - 1011593,1011593,Eastern Region,Kapchorwa,Chapterech,2017,Identified,Identified in Needs Assessment,,,,1.31696,34.36053,11773,67208,600
Uganda - Kemawa - 1011594,1011594,Eastern Region,Kapchorwa,Kaserem,2017,Identified,Identified in Needs Assessment,,,,1.32593,34.3454,11127,59138,700
Uganda - Kapsabuko - 1011595,1011595,Eastern Region,Kapchorwa,Kapsinda,2017,Identified,Identified in Needs Assessment,,,,1.3669172,34.3483679,3409,31989,350
Uganda - Nazwazwa - 1011696,1011696,Eastern Region,Bulambuli,Bumasobo,2017,Identified,Identified in Needs Assessment,,,,1.212136,34.394997,11856,41672,9300
Uganda - Bushibuya Upper - 1011805,1011805,Eastern Region,Bududa,Bushiyi,2017,Identified,Identified in Needs Assessment,,,,1.062098,34.40238,13120,63062,6000
Uganda - Namaili - 1011806,1011806,Eastern Region,Bududa,Bushiyi,2017,Identified,Identified in Needs Assessment,,,,1.052837,34.388716,20245,89018,3500
Uganda - Lunza-Shibumba - 1012050,1012050,Eastern Region,Bududa,Nangako Town Council,2017,Identified,Identified in Needs Assessment,,,,1.054546,34.343935,26505,100534,4190
Uganda - Kibiisi - 1012051,1012051,Eastern Region,Bududa,Bushika,2017,Identified,Identified in Needs Assessment,,,,1.059712,34.350364,25216,98199,1430
Uganda - Namomolo - 1012052,1012052,Eastern Region,Bududa,Bushiribo,2017,Identified,Identified in Needs Assessment,,,,1.034709,34.330458,17925,108714,1600
Uganda - Masiu - 1012053,1012053,Eastern Region,Bududa,Bukibokolo,2017,Identified,Identified in Needs Assessment,,,,1.00796,34.27496,13562,65841,1180
Uganda - Namalemu - 1012054,1012054,Eastern Region,Bududa,Bumasheti,2017,Identified,Identified in Needs Assessment,,,,0.987674,34.306409,14387,87685,570
Uganda - Bundibuturo II - 1012959,1012959,Western Region,Bundibugyo,Kirumya,2017,Identified,Identified in Needs Assessment,,,,0.760931,30.097965,5792.52,41756.61,3686
Uganda - Bundiwerume - 1012961,1012961,Western Region,Bundibugyo,Kirumya,2017,Identified,Identified in Needs Assessment,,,,0.726095,30.066533,17206.66,64416.33,2063
Uganda - Kaleyaleya II - 1012968,1012968,Western Region,Bundibugyo,Harugale,2017,Identified,Identified in Needs Assessment,,,,0.635027,30.030583,5186.15,33376.58,3550
Uganda - Kasuku - 1012971,1012971,Western Region,Bundibugyo,Ngamba,2017,Identified,Identified in Needs Assessment,,,,0.757341,30.131497,5322.29,29499.12,6312
Uganda - Kasulenge II - 1013264,1013264,Western Region,Bundibugyo,Kirumya,2017,Identified,Identified in Needs Assessment,,,,0.737634,30.100656,6815.21,48499.72,1670
Uganda - Humya-Tokwe - 1013265,1013265,Western Region,Bundibugyo,Bubukwanga,2017,Identified,Identified in Needs Assessment,,,,0.762011,30.042096,7263.23,35282.64,2418
Uganda - Bundimbheku - 1013266,1013266,Western Region,Bundibugyo,Kirumya,2017,Identified,Identified in Needs Assessment,,,,0.758385,30.096467,5699.97,43189.54,1742
Uganda - Lyambwe - 1013267,1013267,Western Region,Bundibugyo,Kirumya,2017,Identified,Identified in Needs Assessment,,,,0.732674,30.10893,6730.68,41578.26,8295
Uganda - Bundimulinga - 1012682,1012682,Western Region,Bundibugyo,Nyahuka town council,2017,Identified,Identified in Needs Assessment,,Concrete (11 - 20m),16,0.672921,29.996975,12435,56240,13000
Uganda - Kasili - 1012683,1012683,Western Region,Bundibugyo,Nyahuka town council,2017,Identified,Identified in Needs Assessment,,,,0.693256,29.974573,5933,36011,22500
Uganda - Bimara - 1012747,1012747,Western Region,Bundibugyo,Harugale and bukonzo,2017,Identified,Identified in Needs Assessment,,,,0.689072,30.07887,9658.38,51329.49,10000
Uganda - Kibale 1 - 1012748,1012748,Western Region,Bundibugyo,Harugale,2017,Identified,Identified in Needs Assessment,,,,0.68098,30.070957,7313.97,48978.53,9200
Uganda - Nyambaro - 1012749,1012749,Western Region,Bundibugyo,Nyahuka Town Council,2017,Identified,Identified in Needs Assessment,,,,0.674206,29.985053,16225.24,59889.5,13500
Uganda - Khanyunyi - 1008726,1008726,Eastern Region,Mbale,Wanale,2018,Identified,Identified in Needs Assessment,,,,1.047237,34.229627,16158,88418,
Uganda - Gibuzale - 1008728,1008728,Eastern Region,Bulambuli,Bumugibole to Masila,2018,Identified,Identified in Needs Assessment,,,,1.283067,34.390517,10731,48074,
Uganda - Belegali - 1008730,1008730,Eastern Region,Mbale,Mbale,2018,Identified,Identified in Needs Assessment,,,,1.068767,34.22943,14123,111006,1000
Uganda - Busirima - 1008731,1008731,Eastern Region,Sironko,Zusui and Bukyamba,2018,Identified,Identified in Needs Assessment,,,,1.13205,34.33905,11330,61128,3000
Uganda - Muyembe - 1008732,1008732,Eastern Region,Sironko,Bukyambi,2018,Identified,Identified in Needs Assessment,,,,1.151083,34.3333,10197,63356,
Uganda - Bunamulingi - 1008736,1008736,Eastern Region,Namisindwa,Bukokho,2018,Identified,Identified in Needs Assessment,,,40,0.888166,34.4204057,9805,41174,500
Uganda - Kadebede - 1008737,1008737,Eastern Region,Mbale,Nakaloke and Bukiyi,2018,Identified,Identified in Needs Assessment,,,,1.154733,34.184383,11862,70078,
