Opportunity Name,Project Code,Level 1 Government,Level 2 Government,Level 3 Government,B2P Fiscal Year,Stage,Sub-Stage,Close Date,Bridge Type,Span (m),GPS (Latitude),GPS (Longitude),Population Estimate 2000m,Population Estimate 5000m,Individuals Directly Served,geometry,WorldPop_3km
Uganda - Karujumba - 1014456,1014456,Western Region,Kasese,Kyarumba,2019.0,Identified,Identified in Needs Assessment,,,,0.064435,29.911981,9632.45,35333.63,38000.0,"POLYGON ((29.938902190572925 0.0644366371989479, 29.938772711484695 0.0617800757932479, 29.938385203979266 0.0591490847487064, 29.93774340055747 0.0565690037947578, 29.93685348307159 0.0540646822215321, 29.935724023155558 0.051660239502863, 29.93436589962861 0.0493788329557938, 29.932792193669602 0.0472424346762938, 29.931018062773553 0.0452716199011919, 29.929060594706748 0.0434853688358585, 29.926938642869438 0.0419008838569933, 29.924672644654404 0.040533423851284, 29.92228442455348 0.0393961572851331, 29.919796983910867 0.0385000354197246, 29.9172342793505 0.0378536868911762, 29.91462099201359 0.0374633346692978, 29.91198228983057 0.0373327361925482, 29.90934358511823 0.0374631472532482, 29.906730289837572 0.0378533099781427, 29.904167570869642 0.0384994650172105, 29.901680107666095 0.0393953878204523, 29.899291854607633 0.0405324486504882, 29.89702581035772 0.0418996957503976, 29.894903796430988 0.0434839608635342, 29.892946247106675 0.045269986087174, 29.891172012707717 0.0472405708368708, 29.889598178137366 0.0493767375052448, 29.88823989841772 0.0516579142194667, 29.8871102528113 0.0540621329376215, 29.886220118927504 0.0565662409769968, 29.88557806802377 0.0591461239385427, 29.885190282507445 0.0617769378825009, 29.88506049643086 0.064433348521534, 29.885189959551365 0.0670897751304442, 29.88557742530153 0.0697206368263769, 29.88621916278516 0.0723005988506906, 29.887108992683938 0.0748048164836533, 29.888238346729846 0.0772091742457972, 29.88959635017218 0.0794905180849107, 29.89116992644686 0.0816268783148575, 29.892943923042576 0.0835976811610331, 29.894901257354114 0.085383946876491, 29.897023081121365 0.0869684725215375, 29.899288961873218 0.0883359976467079, 29.901677079631877 0.0894733512830962, 29.904164436986107 0.0903695788234587, 29.90672708051271 0.0910160475706479, 29.909340331415937 0.0914065299349177, 29.911979023165518 0.0915372634765088, 29.914617743845593 0.0914069872126323, 29.91723108088154 0.091016953836375, 29.919793865787682 0.0903709177269609, 29.92228141657838 0.0894750988639882, 29.924669775507013 0.0883381229904705, 29.92693593984158 0.0869709385984972, 29.92905808345266 0.0853867115348851, 29.931015767077326 0.0836006982401378, 29.93279013523154 0.0816300988402828, 29.93436409787192 0.0794938915056992, 29.935722495054705 0.0772126496719975, 29.936852243003337 0.0748083438835989, 29.937742460175468 0.0723041301692768, 29.938384572112938 0.0697241269891096, 29.938772394062905 0.0670931829027886, 29.938902190572925 0.0644366371989479))",26923.848
Uganda - Kabingo-Busingo - 1014458,1014458,Western Region,Kasese,Kyarumba,2019.0,Identified,Identified in Needs Assessment,,,,0.150543,29.926509,2952.91,17566.49,6000.0,"POLYGON ((29.95343063423859 0.150546807015277, 29.95330136337357 0.1478901991727816, 29.952914057911944 0.1452591413176873, 29.95227244845732 0.1426789738064584, 29.95138271503691 0.1401745467423458, 29.950253427547594 0.1377699805913518, 29.948895463174996 0.1354884338330944, 29.947321901582434 0.1333518798863318, 29.945547898881475 0.1313808954592157, 29.94359054160002 0.1295944623638728, 29.94146868205712 0.1280097847047598, 29.939202756732488 0.1266421232016552, 29.936814589382767 0.1255046482425978, 29.93432718080315 0.1246083130811733, 29.93176448726168 0.1239617483980364, 29.92915118974198 0.1235711792403499, 29.926512456218703 0.1234403651369004, 29.923873699256326 0.1235705639631385, 29.921260331266677 0.1239605199014272, 29.91869751978246 0.1246064756096063, 29.916209945103407 0.1255022084778132, 29.91382156264819 0.126639090621609, 29.911555372299503 0.1280061720310604, 29.909433196961764 0.1295902860727253, 29.907475472461837 0.1313761763266122, 29.905701050813498 0.1333466435351854, 29.90412701873756 0.1354827112483353, 29.90276853318244 0.1377638085687456, 29.901638675426174 0.1401679682379969, 29.90074832516223 0.1426720381565842, 29.900106055779027 0.145251904302202, 29.89971805183943 0.147882722901375, 29.899588049553152 0.1505391596208199, 29.899717300813883 0.1531956334776494, 29.90010456114688 0.1558265631223081, 29.90074610168279 0.1584066131253852, 29.901635745042924 0.1609109378994012, 29.902764924791345 0.1633154209093042, 29.904122767882868 0.1655969068705427, 29.90569619931491 0.1677334247007545, 29.907470067977926 0.1697043990797285, 29.909427292495 0.1714908485814845, 29.911549025649155 0.1730755684710782, 29.91381483581771 0.1744432964058393, 29.91620290366943 0.1755808594447984, 29.918690232232755 0.1764773009495092, 29.92125286831465 0.1771239861526035, 29.92386613313961 0.1775146853754031, 29.926504859989443 0.1776456340907903, 29.929143636556116 0.1775155692502516, 29.931757049674427 0.1771257415224263, 29.934319930077393 0.1764799033224172, 29.93680759481678 0.1755842727443127, 29.939196085012934 0.1744474737416001, 29.941462396642745 0.173080453129148, 29.94358470214102 0.1714963752040048, 29.9455425606789 0.1697104949982262, 29.947317115091604 0.1677400113832065, 29.948891273556264 0.165603901439548, 29.950249874267417 0.1633227376874631, 29.951379831521642 0.1609184899383043, 29.952270261801818 0.1584143136764384, 29.95291258864457 0.155834327010883, 29.953300625278867 0.1532033783466259, 29.95343063423859 0.150546807015277))",13767.11
Uganda - Kigaramire - 1014460,1014460,Western Region,Kasese,Bugoye,2019.0,Identified,Identified in Needs Assessment,,,,0.266854,30.109818,6754.87,33047.46,16200.0,"POLYGON ((30.136744328932135 0.2668603444140986, 30.136615281557695 0.2642032830483295, 30.13622815286764 0.2615717516008608, 30.135586671799174 0.2589910948682476, 30.13469701715284 0.2564861675465601, 30.133567758050106 0.2540810948076775, 30.132209771360472 0.2517990399091314, 30.13063613689518 0.2496619810774921, 30.128862011378853 0.2476904998156177, 30.126904482415135 0.2459035826736604, 30.124782403855242 0.2443184383935871, 30.12251621415739 0.2429503321884362, 30.120127739489003 0.2418124387520054, 30.11763998347038 0.2409157154137837, 30.11507690558687 0.2402687966594636, 30.112463190405645 0.239877911031171, 30.109824009821114 0.2397468212056536, 30.107184780619935 0.2398767878251534, 30.104570919701082 0.2402665574267276, 30.102007599308465 0.2409123745835841, 30.099519504633122 0.2418080181388131, 30.097130596118365 0.2429448611799617, 30.094863878755863 0.2443119541744569, 30.092741180592476 0.2458961304631226, 30.09078294257888 0.2476821330940875, 30.08900802178127 0.2496527617743174, 30.08743350984877 0.2517890385227605, 30.086074568481774 0.2540703904295336, 30.084944283483278 0.2564748477613862, 30.08405353879586 0.2589792555064372, 30.083410911735136 0.2615594963222647, 30.08302259042648 0.264190722742074, 30.082892314238563 0.266847596404894, 30.08302133778619 0.2695045320084197, 30.083408418848393 0.272135943637827, 30.084049830318293 0.2747164911010998, 30.084939396069963 0.2772213239013263, 30.086068550398114 0.2796263204990341, 30.08742642045967 0.2819083205627546, 30.088999930925336 0.2840453479731904, 30.090773929835734 0.2860168224349836, 30.092731334452605 0.2878037576593077, 30.094853295703313 0.2893889442093022, 30.097119379637775 0.2907571152475206, 30.099507764152982 0.2918950935886682, 30.1019954490932 0.2927919186404152, 30.10455847770457 0.2934389520082749, 30.107172167313422 0.2938299607455864, 30.109811347008083 0.2939611774445899, 30.11245060003609 0.2938313365873644, 30.11506450858282 0.2934416868038777, 30.117627898574046 0.2927959789163781, 30.1201160821441 0.2919004298826144, 30.122505095433482 0.2907636629826327, 30.1247719294241 0.2893966248229437, 30.12689475158713 0.2878124799554539, 30.128853116206663 0.2860264841245381, 30.1306281613511 0.2840558373619103, 30.13220279059276 0.2819195183435201, 30.13356183772311 0.2796381016036629, 30.134692212874732 0.277233559367089, 30.13558302864051 0.274729049908521, 30.13622570497335 0.272148694479173, 30.136614051854355 0.2695173449503726, 30.136744328932135 0.2668603444140986))",17137.762
Uganda - Izinga-Bwizibwera - 1014649,1014649,Western Region,Kasese,Maliba,2019.0,Identified,Identified in Needs Assessment,,,,0.289855,30.110648,3711.61,24312.62,2650.0,"POLYGON ((30.137574400829514 0.2898618892679366, 30.137445405913603 0.2872048234560411, 30.137058328501226 0.2845732823801501, 30.1364168970493 0.281992610927005, 30.135527289892917 0.2794876639306669, 30.134398075706923 0.2770825667476262, 30.133040130936934 0.2748004828650551, 30.131466534996775 0.2726633907822048, 30.12969244424371 0.2706918723152759, 30.127734945947505 0.2689049143656716, 30.12561289366212 0.2673197260614072, 30.123346725588096 0.2659515730329161, 30.12095826767741 0.2648136304189701, 30.11847052337951 0.2639168560175563, 30.115907452055495 0.2632698848020727, 30.113293738196504 0.2628789458170174, 30.11065455367038 0.2627478022514496, 30.10801531528746 0.2628777152649861, 30.105401440020948 0.263267431912147, 30.102838100239403 0.2639131972786611, 30.10034998130819 0.2648087907101638, 30.097961043893513 0.265945585781787, 30.095694293256663 0.2673126334286994, 30.09357155775867 0.2688967674348965, 30.09161327870608 0.2706827312625937, 30.089838313559444 0.2726533249995054, 30.08826375439686 0.2747895710080533, 30.08690476337824 0.2770708966809767, 30.08577442679193 0.2794753325436303, 30.084883629086796 0.2819797237960007, 30.084240948100415 0.2845599532585606, 30.083852572490347 0.2871911735767104, 30.083722242162054 0.2898480464497862, 30.083851212266012 0.2925049865832608, 30.084238241110135 0.2951364080174774, 30.084879602103978 0.2977169704634551, 30.0857691196201 0.3002218232762165, 30.08689822842847 0.3026268447186929, 30.088256056133087 0.3049088742143797, 30.089829527818868 0.3070459353540848, 30.091603491903577 0.3090174475107364, 30.093560865985243 0.3108044240254338, 30.095682801283406 0.3123896550567173, 30.097948864093276 0.3137578733321797, 30.10033723250812 0.3148959012056453, 30.10282490651777 0.3157927776026521, 30.10538792946226 0.3164398636301681, 30.108001618709665 0.3168309258315315, 30.11064080333794 0.3169621962825488, 30.11328006653283 0.3168324089474642, 30.11589399036762 0.3164428119420036, 30.118457400607294 0.3157971555826732, 30.12094560917881 0.3149016563347515, 30.12333465197116 0.3137649370036845, 30.125601519673417 0.3123979437436369, 30.127724379425807 0.3108138406805573, 30.12968278514676 0.3090278831631053, 30.131457874507916 0.3070572708610694, 30.133032550657695 0.3049209821254766, 30.134391646940433 0.3026395912055657, 30.13552207302254 0.300235070083388, 30.136412941015873 0.2977305768354329, 30.13705567038174 0.2951502325608602, 30.137444070603376 0.2925188890264299, 30.137574400829514 0.2898618892679366))",16368.3955
Uganda - Nyakaka-Buhati - 1014651,1014651,Western Region,Kasese,Bwesumbu,2019.0,Identified,Identified in Needs Assessment,,,,0.472357,30.093033,2651.42,18198.82,6000.0,"POLYGON ((30.11995954758333 0.4723682955966373, 30.11983097901452 0.4697112510363038, 30.119444322486984 0.4670796887626354, 30.118803302516138 0.4644989538609722, 30.117914093579653 0.4619939017599259, 30.116785260612126 0.4595886588013976, 30.115427676468453 0.457306389840371, 30.1138544171528 0.4551690751145229, 30.11208063582418 0.4531972985340441, 30.110123416794668 0.4514100494316535, 30.108001610928717 0.4498245396826868, 30.105735654031456 0.4484560379566217, 30.103347369977485 0.4473177226959064, 30.100859760478517 0.4464205552371146, 30.098296783516837 0.4457731742949911, 30.09568312258001 0.4453818128238024, 30.093043948920844 0.4452502380545298, 30.090404679133194 0.4453797152829743, 30.087790730378664 0.4457689957549015, 30.085227275621733 0.4464143287621994, 30.082739001229708 0.4473094978308541, 30.080349869271146 0.4484458806496466, 30.078082886800306 0.4498125321600462, 30.07595988434756 0.4513962900050303, 30.07400130574676 0.453181901319625, 30.07222601132103 0.4551521696408832, 30.070651096319622 0.4572881205217834, 30.0692917263516 0.4595691842539367, 30.068160991398457 0.4619733939397906, 30.06726977980887 0.464477597007736, 30.06662667348698 0.4670576781345697, 30.06623786528135 0.4696887914303698, 30.066107099368914 0.4723455996520092, 30.066235635206862 0.4750025181441404, 30.066622235399354 0.4776339611611379, 30.067263177595898 0.4802145882006268, 30.068152290307655 0.4827195479790772, 30.069281012297875 0.4851247177024936, 30.07063847497645 0.4874069353302771, 30.07221160700707 0.4895442225974596, 30.073985260122193 0.4915159966490737, 30.075942354936927 0.4933032682495843, 30.078064045360325 0.4948888246590678, 30.08032990002364 0.4962573954149106, 30.082718098981083 0.4973957994218892, 30.085205643791145 0.4982930719329618, 30.087768578957498 0.498940570196282, 30.090382222598766 0.4993320567489946, 30.09302140412679 0.499463759553304, 30.095660706645326 0.4993344083930928, 30.098274711734927 0.4989452471778619, 30.100838244266203 0.4983000220327539, 30.103326614883013 0.4974049452866982, 30.105715857818925 0.4962686357030082, 30.107982961754885 0.4949020355258312, 30.110106091492685 0.4933183051394837, 30.112064798306978 0.4915326963537218, 30.113840216947477 0.4895624055343122, 30.115415247391407 0.48742640799287, 30.11677471959333 0.4851452752309237, 30.117905539642965 0.482740976798803, 30.118796815921407 0.4802366686785864, 30.119439964038584 0.4776564702305766, 30.119828789539753 0.4750252318532811, 30.11995954758333 0.4723682955966373))",5115.0015
Uganda - Ngenge - 1018566,1018566,Eastern Region,Kween,Benet,2020.0,Identified,Identified in Needs Assessment,,Suspended Bridge,30.0,1.358779,34.521656,1501.3,15742.16,1302.0,"POLYGON ((34.54861403032133 1.3587617577385176, 34.54848252872908 1.3561024590946087, 34.54809267871115 1.35346893737479, 34.54744823526044 1.3508865537741115, 34.546555405001136 1.3483801769989208, 34.545422786405474 1.3459739438089329, 34.54406128698552 1.3436910266066018, 34.542484018257525 1.3415534103104774, 34.54070616948992 1.3395816806599714, 34.53874486144991 1.33779482598907, 34.53661898155615 1.336210054377042, 34.534349002023546 1.3348426279364234, 34.53195678274998 1.3337057158337835, 34.52946536084147 1.3328102674587166, 34.52689872880094 1.3321649069627481, 34.52428160351481 1.331775850184369, 34.521639188260586 1.3316468447610472, 34.51899693002566 1.3317791340060403, 34.516380274473 1.332171444899118, 34.51381442091248 1.332820000308227, 34.51132407963652 1.3337185553258593, 34.5089332339564 1.334858457371668, 34.5066649092307 1.3362287294839699, 34.50454095111036 1.3378161759993852, 34.50258181513601 1.3396055096041093, 34.50080636971492 1.3415794985343459, 34.49923171437555 1.343719132509155, 34.49787301505152 1.3460038057983574, 34.49674335798249 1.3484115156628411, 34.49585362364061 1.3509190742563277, 34.49521238189838 1.353502331947726, 34.49482580944913 1.3561364099129718, 34.494697630277344 1.3587959397557146, 34.49482907975353 1.3614553078483052, 34.49521889270121 1.36408890203888, 34.495863315552036 1.3666713583473808, 34.49675614247347 1.3691778052733388, 34.49788877512155 1.371584103361186, 34.49925030544421 1.37386707771448, 34.500827620737596 1.3760047412183913, 34.50260552994381 1.3779765063193377, 34.50456690997303 1.3797633833209937, 34.50669287064009 1.3813481632859306, 34.50896293662601 1.3827155837806127, 34.511355244710565 1.38385247586697, 34.51384675437477 1.3847478909246214, 34.516413469743306 1.3853932060824101, 34.519030670727496 1.3857822072441663, 34.521673151140796 1.3859111489097393, 34.524315461491796 1.3857787902160459, 34.526932154114725 1.3853864068521933, 34.529498028275114 1.3847377787352453, 34.531988372888925 1.383839153566833, 34.5343792045166 1.3826991866231595, 34.53664749833956 1.3813288573598967, 34.53877140989448 1.3797413636367046, 34.54073048543019 1.3779519945815537, 34.54250585886205 1.375977983320581, 34.54408043342812 1.3738383409928825, 34.54543904629884 1.3715536736496334, 34.546568614556904 1.3691459838014446, 34.54745826114311 1.36663845852538, 34.54809941955738 1.3640552461721587, 34.54848591630859 1.3614212238235261, 34.54861403032133 1.3587617577385176))",9934.696
Uganda - Nyinendugu - 1021782,1021782,Western Region,Ibanda,Bufunda division,2020.0,Identified,Identified in Needs Assessment,,,,-0.14743,30.498804,9610.14,37306.7,14400.0,"POLYGON ((30.5257387506935 -0.1474330314805829, 30.52560875496557 -0.1500908950187501, 30.525220606912 -0.152723131270627, 30.524578044969598 -0.1553043888499777, 30.523687258006063 -0.15780980743084, 30.522556825693805 -0.1602152572194336, 30.52119763584902 -0.1624975713846304, 30.519622779533513 -0.1646347692067725, 30.51784742493093 -0.1666062677942869, 30.515888671213858 -0.1683930803279836, 30.513765383811286 -0.1699779989230535, 30.51149801266484 -0.1713457603473335, 30.50910839522654 -0.172483192999946, 30.506619546097316 -0.173379343735323, 30.504055435334436 -0.1740255833121519, 30.501440757564723 -0.1744156894530189, 30.498800694128768 -0.174545906716501, 30.496160670548225 -0.1744149826070481, 30.49354611165277 -0.1740241795770646, 30.490982196725618 -0.1733772628079024, 30.488493617025682 -0.1724804638897922, 30.48610433802117 -0.1713424207528047, 30.483837368623654 -0.1699740944295146, 30.481714539643622 -0.1683886634529444, 30.479756293599575 -0.1666013969084474, 30.477981487902838 -0.1646295073633963, 30.47640721331126 -0.1624919850919017, 30.47504862939789 -0.160209415191464, 30.47391881861669 -0.1578037793527366, 30.47302866036812 -0.1552982441908929, 30.472386726275452 -0.1527169381760438, 30.471999197678 -0.15008471930953, 30.471869806134325 -0.1474269357816615, 30.471999797507056 -0.1447691819137812, 30.472387919974206 -0.142137051732735, 30.47303043608227 -0.1395558925485176, 30.473921158724902 -0.1370505609058222, 30.47505151070153 -0.1346451832574446, 30.476410607283192 -0.1323629236622045, 30.47798536099214 -0.1302257607426662, 30.479760607587835 -0.1282542760491139, 30.48171925204834 -0.126467455866799, 30.483842433143323 -0.1248825083744609, 30.48610970501651 -0.1235146979147673, 30.4884992340309 -0.1223771979729984, 30.490988008983642 -0.1214809642806062, 30.493552062668034 -0.1208346292668953, 30.49616670265074 -0.120444418876866, 30.498806749043307 -0.1203140925581796, 30.501446776979062 -0.120444906997318, 30.50406136146095 -0.120835603956447, 30.506625322222476 -0.1214824223304598, 30.509113966243355 -0.1223791343103967, 30.511503325583536 -0.1235171053071727, 30.513770388244215 -0.1248853770605207, 30.515893319830834 -0.1264707731345098, 30.517851673881772 -0.1282580257850718, 30.519626588835077 -0.1302299229787687, 30.521200969734217 -0.1323674741475553, 30.522559652920805 -0.1346500930834228, 30.523689552125887 -0.137055796211313, 30.5245797845509 -0.1395614143301675, 30.525221775722027 -0.1421428157818839, 30.52560934210646 -0.1447751388975373, 30.5257387506935 -0.1474330314805829))",23258.928
Uganda - Kyetegyeka- Kajumbura - 1021783,1021783,Western Region,Ibanda,Bufunda division,2020.0,Identified,Identified in Needs Assessment,,,,-0.176814,30.530784,2701.02,23174.45,15200.0,"POLYGON ((30.55771944287788 -0.176817588967737, 30.557589389904596 -0.1794755138836352, 30.557201178572914 -0.1821078056023567, 30.556558547905688 -0.1846891122201854, 30.55566768740689 -0.1871945729524409, 30.554537177430248 -0.1896000576092829, 30.553177906512808 -0.1918823990296173, 30.55160296647084 -0.1940196162328665, 30.549827526269816 -0.1959911261380376, 30.547868685884975 -0.1977779418099512, 30.545745311561788 -0.1993628553226249, 30.54347785406514 -0.2007306034783564, 30.541088151669594 -0.2018680147865874, 30.538599219790388 -0.2027641362875369, 30.536035029283173 -0.2034103390001173, 30.53342027554945 -0.2038004009798915, 30.53078014067309 -0.2039305671888049, 30.528140050880015 -0.2037995856020256, 30.525525431657744 -0.2034087192062988, 30.522961462893818 -0.2027617337765309, 30.520472836391207 -0.201864861550646, 30.51808351809573 -0.2007267411548306, 30.51581651732443 -0.1993583343598721, 30.513693665216262 -0.1977728204722176, 30.511735404536957 -0.1959854693784688, 30.509960592860494 -0.1940134944672467, 30.50838632102046 -0.1918758868457333, 30.507027748577283 -0.1895932324478786, 30.505897957883462 -0.187187513795553, 30.505007828149914 -0.1846818983212371, 30.50436593072384 -0.1821005152898101, 30.503978446584732 -0.179468223466367, 30.503849106851316 -0.1768103717657576, 30.50397915687097 -0.174152555186829, 30.50436734423676 -0.1715203683795653, 30.505009930846814 -0.1689391592159958, 30.50590072889025 -0.1664337847356891, 30.507031160413465 -0.1640283718138717, 30.50839033989434 -0.1617460848549009, 30.509965179030445 -0.1596089027464338, 30.51174051273406 -0.1576374072207892, 30.513699245122602 -0.1558505846605479, 30.515822514100815 -0.1542656432564052, 30.518089872952178 -0.1528978472779157, 30.52047948719301 -0.1517603700534384, 30.5229683447958 -0.1508641670758785, 30.52553247775932 -0.1502178704574242, 30.528147192893424 -0.1498277057512632, 30.530787309597613 -0.1496974319431694, 30.53342740234432 -0.1498283051929518, 30.536042045532504 -0.1502190666771972, 30.538606058353636 -0.1508659546526898, 30.541094747311643 -0.1517627406266193, 30.543484144060585 -0.1529007892874144, 30.545751236268487 -0.1542691416210235, 30.547874189282542 -0.1558546204139182, 30.54983255645926 -0.1576419571281672, 30.551607476132027 -0.1596139389277442, 30.553181853317003 -0.1617515744407503, 30.554540524405443 -0.1640342766613793, 30.555670403253938 -0.1664400612299577, 30.556560607263858 -0.1689457581808797, 30.5572025622336 -0.1715272351181665, 30.557590084972297 -0.1741596296679738, 30.55771944287788 -0.176817588967737))",9332.952
Uganda - Mirambi - 1021825,1021825,Western Region,Ibanda,Kagongo,2020.0,Identified,Identified in Needs Assessment,,,,-0.126645,30.422006,4924.55,34458.07,24900.0,"POLYGON ((30.44893912398006 -0.1266476844369618, 30.44880916952843 -0.1293053922858928, 30.448421077791874 -0.1319374776213222, 30.44777858669121 -0.1345185904659011, 30.44688788444602 -0.1370238718478139, 30.44575754995339 -0.1394291932611719, 30.44439847013289 -0.1417113890853651, 30.442823735035283 -0.1438484797232134, 30.441048511726642 -0.1458198833074327, 30.43908989816432 -0.1476066139353746, 30.436966758474128 -0.1491914645221348, 30.434699541217466 -0.1505591725106881, 30.43231008240063 -0.1516965668432498, 30.429821395125913 -0.1525926947789752, 30.42725744791236 -0.153238927337636, 30.424642933822966 -0.1536290423551542, 30.422003032623564 -0.1537592843528438, 30.419363168265175 -0.1536284006457991, 30.416748764026465 -0.1532376533449222, 30.414184997674855 -0.1525908071393763, 30.41169655900426 -0.1516940929795464, 30.409307412084146 -0.150556148012636, 30.407040564508616 -0.1491879323515878, 30.404917845866386 -0.1476026234808923, 30.402959697563553 -0.1458154893179086, 30.401184976020954 -0.1438437411534948, 30.399610771139383 -0.1417063678890834, 30.398252241778263 -0.1394239531669788, 30.39712246982983 -0.1370184771549109, 30.396232334291625 -0.1345131048931619, 30.395590406547676 -0.1319319632415228, 30.395202867864906 -0.1292999085726882, 30.395073449897446 -0.1266422874474375, 30.395203398770562 -0.1239846925742454, 30.39559146308919 -0.1213527164011607, 30.396233905986186 -0.1187717047104862, 30.397124541094385 -0.1162665125867506, 30.398254792096754 -0.1138612651057013, 30.399613775282187 -0.1115791250467708, 30.40118840431356 -0.1094420698641105, 30.402963516200867 -0.1074706800624803, 30.404922017268618 -0.1056839410148698, 30.40704504771409 -0.1040990601297448, 30.409312163174103 -0.1027313011284783, 30.41170153155436 -0.101593837029244, 30.414190143227987 -0.1006976232539803, 30.416754032581256 -0.1000512920816812, 30.419368508774706 -0.0996610694660922, 30.422008393498835 -0.0995307150208344, 30.42464826343575 -0.099661485752112, 30.4272626950924 -0.1000521238906196, 30.429826509647715 -0.1006988689422444, 30.43231501545534 -0.1015954938438908, 30.43470424586576 -0.1027333648784973, 30.436971190076395 -0.1041015247742981, 30.439094014784875 -0.1056867981898289, 30.44105227450905 -0.1074739185702516, 30.442827108546222 -0.1094456751543623, 30.44440142267249 -0.111583078717163, 30.445760053830224 -0.1138655444519973, 30.446889916215188 -0.1162710902307443, 30.44778012735445 -0.1187765483320269, 30.448422112958642 -0.121357788597289, 30.448809689537335 -0.1239899508641709, 30.44893912398006 -0.1266476844369618))",11600.226
Uganda - Nkombe 1 - Kanyambiriri - 1022219,1022219,Western Region,Rubirizi,Rutoto,2020.0,Identified,Identified in Needs Assessment,,,,-0.350505,30.095959,2288.67,11297.18,900.0,"POLYGON ((30.12288520902869 -0.3505133732946368, 30.122754735857896 -0.3531703312431255, 30.122366195831624 -0.3558016191286583, 30.12172333111414 -0.3583818944371164, 30.120832333496818 -0.3608863060490043, 30.119701784743413 -0.3632907336324315, 30.118342573906677 -0.3655720199915213, 30.1167677924138 -0.367708194130475, 30.114992607932827 -0.3696786828832447, 30.113034118236946 -0.371464509069286, 30.110911186476084 -0.3730484742660571, 30.10864425944512 -0.374415324437572, 30.106255170601116 -0.3755518968239185, 30.10376692972956 -0.3764472466776365, 30.10120350128754 -0.3770927526274312, 30.098589573561014 -0.3774821996559848, 30.095950320861242 -0.3776118388946393, 30.093311161052284 -0.377480423661327, 30.090697510746008 -0.3770892213971796, 30.088134540522812 -0.3764420013895256, 30.08564693253579 -0.3755449984022445, 30.08325864283236 -0.3744068525664296, 30.08099267068141 -0.373038526112798, 30.078870837126214 -0.3714531977500611, 30.076913574893815 -0.3696661357084137, 30.075139731682 -0.3676945506723462, 30.073566388715776 -0.36555743002017, 30.07220869631796 -0.3632753549671455, 30.07107972807462 -0.3608703023731885, 30.070190354996996 -0.3583654331232616, 30.06954914088908 -0.3557848691173295, 30.069162259926124 -0.35315346101596, 30.069033437235642 -0.3504965489762451, 30.069163913051625 -0.3478397186798791, 30.069552430785855 -0.3452085550003138, 30.070195249130744 -0.3426283956785035, 30.071086178076992 -0.3401240873766434, 30.072216638499828 -0.3377197464564778, 30.07357574474099 -0.3354385267834629, 30.075150409392844 -0.3333023967906878, 30.076925469277455 -0.3313319279476861, 30.07888383140984 -0.3295460966698793, 30.08100663754223 -0.3279621015754807, 30.083273445707604 -0.3265951978494243, 30.08566242701683 -0.3254585503096918, 30.088150575816925 -0.3245631065918452, 30.090713931189054 -0.3239174916743258, 30.09332780765529 -0.3235279247620207, 30.095967032874302 -0.3233981593306545, 30.098606190038073 -0.3235294469118116, 30.10121986263641 -0.3239205249699635, 30.10378287923224 -0.3245676289909497, 30.106270555890383 -0.3254645286681945, 30.108658933924428 -0.3266025878407519, 30.110925010670993 -0.3279708476083246, 30.113046961067248 -0.3295561318249087, 30.11500434789601 -0.3313431739568193, 30.116778318671322 -0.3333147640846847, 30.118351787265993 -0.3354519146345164, 30.119709598529365 -0.3377340432421024, 30.120838674307443 -0.3401391709894538, 30.121728139456486 -0.3426441341035052, 30.12236942663425 -0.3452248070771459, 30.12275635885746 -0.3478563350622416, 30.12288520902869 -0.3505133732946368))",7131.9688
