Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID
Gasasa,10/12/2021,Bridge Survey - 00004704,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,Buying goods; Other,Buying airtime,Livelihood,40,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfb
Gasasa,10/12/2021,Bridge Survey - 00004712,,,,Other,Site bridge,35010303,Gasasa,,35010301,B2P bridge,Recreation,,Recreation,15,Male,School-aged child,,,,2,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Fbh0CQAR,Cloudy; Temperature is cool,a3b3Z000001ZmgA
Gasasa,10/12/2021,Bridge Survey - 00004706,,,,Other,Kanyana,351303,Other,Kanyana,351303,B2P bridge,,,Others ,30,Male,Adult,,,,1,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfl
Gasasa,10/12/2021,Bridge Survey - 00004705,,,,Other,Rugeshi,35010303,Other,Rugeshi,35010303,B2P bridge,Farming,,Livelihood,60,Female,Adult,,,,,,Foot,"Agriculture inputs (manure, seed, pesticides, animal feed, etc.)",,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfg
Gasasa,10/12/2021,Bridge Survey - 00004714,,,,Other,Nturo centre,35050105,Ruganda,,35080506,B2P bridge,Visiting friends or family,,Visiting family or friends,180,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Fbh15QAB,Cloudy; Temperature is moderate,a3b3Z000001ZmgK
Gasasa,10/12/2021,Bridge Survey - 00004713,,,,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,School,,Education,30,Female,School-aged child,,,,4,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZmgF
Gasasa,10/12/2021,Bridge Survey - 00004700,,,,Ruganda,,35050105,Ruganda,,35050105,B2P bridge,Farming,,Livelihood,30,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001ZmfH
Gasasa,02/08/2022,Bridge Survey - 00006260,,,,Bitaba,,35130301,Other,Gashubi market,350103,B2P bridge,Visiting friends or family,,Visiting family or friends,120,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001Zoo7
Gasasa,02/08/2022,Bridge Survey - 00006220,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,Other,Collection Animal feeds,Livelihood,60,Female,Senior,,,,,,Foot,"Agriculture inputs (manure, seed, pesticides, animal feed, etc.)",,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Cloudy; Temperature is moderate,a3b3Z000001Zol3
Gasasa,02/08/2022,Bridge Survey - 00006236,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,Firewood collection,,Livelihood,30,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZomG
Gasasa,02/08/2022,Bridge Survey - 00006238,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,Farming,,Livelihood,60,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZomQ
